: زمان افعال
می‌خورد خورد می‌گذارد گذاشت
می‌خورد خورد می‌گرید گریست
می‌خورد خورد می‌خوابد خوابید
می‌خورد خورد می‌سوزد سوخت
می‌خورد خورد می‌شکند شکست
می‌خورد خورد می‌برد برد
می‌خورد خورد می‌گذرد گذشت
می‌خورد خورد می‌شنود شنید
می‌خورد خورد می‌دوزد دوخت
می‌خورد خورد می‌کارد کاشت
می‌خورد خورد می‌خواهد خواست
می‌خورد خورد می‌آفریند آفرید
می‌خورد خورد می‌آورد آورد
می‌خورد خورد می‌بخشد بخشید
می‌خورد خورد می‌پرسد پرسید
می‌خورد خورد می‌پوشد پوشید
می‌خورد خورد می‌پیچد پیچید
می‌خورد خورد می‌زند زد
می‌خورد خورد می‌نشیند نشست
می‌خورد خورد می‌پرورد پرورید
می‌خورد خورد می‌نوشد نوشید
می‌خورد خورد می‌تواند توانست
می‌خورد خورد می‌پرد پرید
می‌خورد خورد می‌خزد خزید
می‌خورد خورد می‌بارد بارید
می‌خورد خورد می‌لرزد لرزید
می‌خورد خورد می‌وزد وزید
می‌خورد خورد می‌ریزد ریخت
می‌خورد خورد برمی‌دارد برداشت
می‌خورد خورد می‌گیرد گرفت
می‌گوید گفت ﻿می‌رود رفت
می‌گوید گفت می‌خورد خورد
می‌گوید گفت می‌خندد خندید
می‌گوید گفت می‌نویسد نوشت
می‌گوید گفت می‌بیند دید
می‌گوید گفت می‌جنگد جنگید
می‌گوید گفت می‌سازد ساخت
می‌گوید گفت می‌پردازد پرداخت
می‌گوید گفت می‌جوید جست
می‌گوید گفت می‌پزد پخت
می‌گوید گفت می‌شوید شست
می‌گوید گفت می‌کند کرد
می‌گوید گفت می‌خواند خواند
می‌گوید گفت می‌خرد خرید
می‌گوید گفت می‌گذارد گذاشت
می‌گوید گفت می‌گرید گریست
می‌گوید گفت می‌خوابد خوابید
می‌گوید گفت می‌سوزد سوخت
می‌گوید گفت می‌شکند شکست
می‌گوید گفت می‌برد برد
می‌گوید گفت می‌گذرد گذشت
می‌گوید گفت می‌شنود شنید
می‌گوید گفت می‌دوزد دوخت
می‌گوید گفت می‌کارد کاشت
می‌گوید گفت می‌خواهد خواست
می‌گوید گفت می‌آفریند آفرید
می‌گوید گفت می‌آورد آورد
می‌گوید گفت می‌بخشد بخشید
می‌گوید گفت می‌پرسد پرسید
می‌گوید گفت می‌پوشد پوشید
می‌گوید گفت می‌پیچد پیچید
می‌گوید گفت می‌زند زد
می‌گوید گفت می‌نشیند نشست
می‌گوید گفت می‌پرورد پرورید
می‌گوید گفت می‌نوشد نوشید
می‌گوید گفت می‌تواند توانست
می‌گوید گفت می‌پرد پرید
می‌گوید گفت می‌خزد خزید
می‌گوید گفت می‌بارد بارید
می‌گوید گفت می‌لرزد لرزید
می‌گوید گفت می‌وزد وزید
می‌گوید گفت می‌ریزد ریخت
می‌گوید گفت برمی‌دارد برداشت
می‌گوید گفت می‌گیرد گرفت
می‌خندد خندید ﻿می‌رود رفت
می‌خندد خندید می‌خورد خورد
می‌خندد خندید می‌گوید گفت
می‌خندد خندید می‌نویسد نوشت
می‌خندد خندید می‌بیند دید
می‌خندد خندید می‌جنگد جنگید
می‌خندد خندید می‌سازد ساخت
می‌خندد خندید می‌پردازد پرداخت
می‌خندد خندید می‌جوید جست
می‌خندد خندید می‌پزد پخت
می‌خندد خندید می‌شوید شست
می‌خندد خندید می‌کند کرد
می‌خندد خندید می‌خواند خواند
می‌خندد خندید می‌خرد خرید
می‌خندد خندید می‌گذارد گذاشت
می‌خندد خندید می‌گرید گریست
می‌خندد خندید می‌خوابد خوابید
می‌خندد خندید می‌سوزد سوخت
می‌خندد خندید می‌شکند شکست
می‌خندد خندید می‌برد برد
می‌خندد خندید می‌گذرد گذشت
می‌خندد خندید می‌شنود شنید
می‌خندد خندید می‌دوزد دوخت
می‌خندد خندید می‌کارد کاشت
می‌خندد خندید می‌خواهد خواست
می‌خندد خندید می‌آفریند آفرید
می‌خندد خندید می‌آورد آورد
می‌خندد خندید می‌بخشد بخشید
می‌خندد خندید می‌پرسد پرسید
می‌خندد خندید می‌پوشد پوشید
می‌خندد خندید می‌پیچد پیچید
می‌خندد خندید می‌زند زد
می‌خندد خندید می‌نشیند نشست
می‌خندد خندید می‌پرورد پرورید
می‌خندد خندید می‌نوشد نوشید
می‌خندد خندید می‌تواند توانست
می‌خندد خندید می‌پرد پرید
می‌خندد خندید می‌خزد خزید
می‌خندد خندید می‌بارد بارید
می‌خندد خندید می‌لرزد لرزید
می‌خندد خندید می‌وزد وزید
می‌خندد خندید می‌ریزد ریخت
می‌خندد خندید برمی‌دارد برداشت
می‌خندد خندید می‌گیرد گرفت
می‌نویسد نوشت ﻿می‌رود رفت
می‌نویسد نوشت می‌خورد خورد
می‌نویسد نوشت می‌گوید گفت
می‌نویسد نوشت می‌خندد خندید
می‌نویسد نوشت می‌بیند دید
می‌نویسد نوشت می‌جنگد جنگید
می‌نویسد نوشت می‌سازد ساخت
می‌نویسد نوشت می‌پردازد پرداخت
می‌نویسد نوشت می‌جوید جست
می‌نویسد نوشت می‌پزد پخت
می‌نویسد نوشت می‌شوید شست
می‌نویسد نوشت می‌کند کرد
می‌نویسد نوشت می‌خواند خواند
می‌نویسد نوشت می‌خرد خرید
می‌نویسد نوشت می‌گذارد گذاشت
می‌نویسد نوشت می‌گرید گریست
می‌نویسد نوشت می‌خوابد خوابید
می‌نویسد نوشت می‌سوزد سوخت
می‌نویسد نوشت می‌شکند شکست
می‌نویسد نوشت می‌برد برد
می‌نویسد نوشت می‌گذرد گذشت
می‌نویسد نوشت می‌شنود شنید
می‌نویسد نوشت می‌دوزد دوخت
می‌نویسد نوشت می‌کارد کاشت
می‌نویسد نوشت می‌خواهد خواست
می‌نویسد نوشت می‌آفریند آفرید
می‌نویسد نوشت می‌آورد آورد
می‌نویسد نوشت می‌بخشد بخشید
می‌نویسد نوشت می‌پرسد پرسید
می‌نویسد نوشت می‌پوشد پوشید
می‌نویسد نوشت می‌پیچد پیچید
می‌نویسد نوشت می‌زند زد
می‌نویسد نوشت می‌نشیند نشست
می‌نویسد نوشت می‌پرورد پرورید
می‌نویسد نوشت می‌نوشد نوشید
می‌نویسد نوشت می‌تواند توانست
می‌نویسد نوشت می‌پرد پرید
می‌نویسد نوشت می‌خزد خزید
می‌نویسد نوشت می‌بارد بارید
می‌نویسد نوشت می‌لرزد لرزید
می‌نویسد نوشت می‌وزد وزید
می‌نویسد نوشت می‌ریزد ریخت
می‌نویسد نوشت برمی‌دارد برداشت
می‌نویسد نوشت می‌گیرد گرفت
می‌بیند دید ﻿می‌رود رفت
می‌بیند دید می‌خورد خورد
می‌بیند دید می‌گوید گفت
می‌بیند دید می‌خندد خندید
می‌بیند دید می‌نویسد نوشت
می‌بیند دید می‌جنگد جنگید
می‌بیند دید می‌سازد ساخت
می‌بیند دید می‌پردازد پرداخت
می‌بیند دید می‌جوید جست
می‌بیند دید می‌پزد پخت
می‌بیند دید می‌شوید شست
می‌بیند دید می‌کند کرد
می‌بیند دید می‌خواند خواند
می‌بیند دید می‌خرد خرید
می‌بیند دید می‌گذارد گذاشت
می‌بیند دید می‌گرید گریست
می‌بیند دید می‌خوابد خوابید
می‌بیند دید می‌سوزد سوخت
می‌بیند دید می‌شکند شکست
می‌بیند دید می‌برد برد
می‌بیند دید می‌گذرد گذشت
می‌بیند دید می‌شنود شنید
می‌بیند دید می‌دوزد دوخت
می‌بیند دید می‌کارد کاشت
می‌بیند دید می‌خواهد خواست
می‌بیند دید می‌آفریند آفرید
می‌بیند دید می‌آورد آورد
می‌بیند دید می‌بخشد بخشید
می‌بیند دید می‌پرسد پرسید
می‌بیند دید می‌پوشد پوشید
می‌بیند دید می‌پیچد پیچید
می‌بیند دید می‌زند زد
می‌بیند دید می‌نشیند نشست
می‌بیند دید می‌پرورد پرورید
می‌بیند دید می‌نوشد نوشید
می‌بیند دید می‌تواند توانست
می‌بیند دید می‌پرد پرید
می‌بیند دید می‌خزد خزید
می‌بیند دید می‌بارد بارید
می‌بیند دید می‌لرزد لرزید
می‌بیند دید می‌وزد وزید
می‌بیند دید می‌ریزد ریخت
می‌بیند دید برمی‌دارد برداشت
می‌بیند دید می‌گیرد گرفت
می‌جنگد جنگید ﻿می‌رود رفت
می‌جنگد جنگید می‌خورد خورد
می‌جنگد جنگید می‌گوید گفت
می‌جنگد جنگید می‌خندد خندید
می‌جنگد جنگید می‌نویسد نوشت
می‌جنگد جنگید می‌بیند دید
می‌جنگد جنگید می‌سازد ساخت
می‌جنگد جنگید می‌پردازد پرداخت
می‌جنگد جنگید می‌جوید جست
می‌جنگد جنگید می‌پزد پخت
می‌جنگد جنگید می‌شوید شست
می‌جنگد جنگید می‌کند کرد
می‌جنگد جنگید می‌خواند خواند
می‌جنگد جنگید می‌خرد خرید
می‌جنگد جنگید می‌گذارد گذاشت
می‌جنگد جنگید می‌گرید گریست
می‌جنگد جنگید می‌خوابد خوابید
می‌جنگد جنگید می‌سوزد سوخت
می‌جنگد جنگید می‌شکند شکست
می‌جنگد جنگید می‌برد برد
می‌جنگد جنگید می‌گذرد گذشت
می‌جنگد جنگید می‌شنود شنید
می‌جنگد جنگید می‌دوزد دوخت
می‌جنگد جنگید می‌کارد کاشت
می‌جنگد جنگید می‌خواهد خواست
می‌جنگد جنگید می‌آفریند آفرید
می‌جنگد جنگید می‌آورد آورد
می‌جنگد جنگید می‌بخشد بخشید
می‌جنگد جنگید می‌پرسد پرسید
می‌جنگد جنگید می‌پوشد پوشید
می‌جنگد جنگید می‌پیچد پیچید
می‌جنگد جنگید می‌زند زد
می‌جنگد جنگید می‌نشیند نشست
می‌جنگد جنگید می‌پرورد پرورید
می‌جنگد جنگید می‌نوشد نوشید
می‌جنگد جنگید می‌تواند توانست
می‌جنگد جنگید می‌پرد پرید
می‌جنگد جنگید می‌خزد خزید
می‌جنگد جنگید می‌بارد بارید
می‌جنگد جنگید می‌لرزد لرزید
می‌جنگد جنگید می‌وزد وزید
می‌جنگد جنگید می‌ریزد ریخت
می‌جنگد جنگید برمی‌دارد برداشت
می‌جنگد جنگید می‌گیرد گرفت
می‌سازد ساخت ﻿می‌رود رفت
می‌سازد ساخت می‌خورد خورد
می‌سازد ساخت می‌گوید گفت
می‌سازد ساخت می‌خندد خندید
می‌سازد ساخت می‌نویسد نوشت
می‌سازد ساخت می‌بیند دید
می‌سازد ساخت می‌جنگد جنگید
می‌سازد ساخت می‌پردازد پرداخت
می‌سازد ساخت می‌جوید جست
می‌سازد ساخت می‌پزد پخت
می‌سازد ساخت می‌شوید شست
می‌سازد ساخت می‌کند کرد
می‌سازد ساخت می‌خواند خواند
می‌سازد ساخت می‌خرد خرید
می‌سازد ساخت می‌گذارد گذاشت
می‌سازد ساخت می‌گرید گریست
می‌سازد ساخت می‌خوابد خوابید
می‌سازد ساخت می‌سوزد سوخت
می‌سازد ساخت می‌شکند شکست
می‌سازد ساخت می‌برد برد
می‌سازد ساخت می‌گذرد گذشت
می‌سازد ساخت می‌شنود شنید
می‌سازد ساخت می‌دوزد دوخت
می‌سازد ساخت می‌کارد کاشت
می‌سازد ساخت می‌خواهد خواست
می‌سازد ساخت می‌آفریند آفرید
می‌سازد ساخت می‌آورد آورد
می‌سازد ساخت می‌بخشد بخشید
می‌سازد ساخت می‌پرسد پرسید
می‌سازد ساخت می‌پوشد پوشید
می‌سازد ساخت می‌پیچد پیچید
می‌سازد ساخت می‌زند زد
می‌سازد ساخت می‌نشیند نشست
می‌سازد ساخت می‌پرورد پرورید
می‌سازد ساخت می‌نوشد نوشید
می‌سازد ساخت می‌تواند توانست
می‌سازد ساخت می‌پرد پرید
می‌سازد ساخت می‌خزد خزید
می‌سازد ساخت می‌بارد بارید
می‌سازد ساخت می‌لرزد لرزید
می‌سازد ساخت می‌وزد وزید
می‌سازد ساخت می‌ریزد ریخت
می‌سازد ساخت برمی‌دارد برداشت
می‌سازد ساخت می‌گیرد گرفت
می‌پردازد پرداخت ﻿می‌رود رفت
می‌پردازد پرداخت می‌خورد خورد
می‌پردازد پرداخت می‌گوید گفت
می‌پردازد پرداخت می‌خندد خندید
می‌پردازد پرداخت می‌نویسد نوشت
می‌پردازد پرداخت می‌بیند دید
می‌پردازد پرداخت می‌جنگد جنگید
می‌پردازد پرداخت می‌سازد ساخت
می‌پردازد پرداخت می‌جوید جست
می‌پردازد پرداخت می‌پزد پخت
می‌پردازد پرداخت می‌شوید شست
می‌پردازد پرداخت می‌کند کرد
می‌پردازد پرداخت می‌خواند خواند
می‌پردازد پرداخت می‌خرد خرید
می‌پردازد پرداخت می‌گذارد گذاشت
می‌پردازد پرداخت می‌گرید گریست
می‌پردازد پرداخت می‌خوابد خوابید
می‌پردازد پرداخت می‌سوزد سوخت
می‌پردازد پرداخت می‌شکند شکست
می‌پردازد پرداخت می‌برد برد
می‌پردازد پرداخت می‌گذرد گذشت
می‌پردازد پرداخت می‌شنود شنید
می‌پردازد پرداخت می‌دوزد دوخت
می‌پردازد پرداخت می‌کارد کاشت
می‌پردازد پرداخت می‌خواهد خواست
می‌پردازد پرداخت می‌آفریند آفرید
می‌پردازد پرداخت می‌آورد آورد
می‌پردازد پرداخت می‌بخشد بخشید
می‌پردازد پرداخت می‌پرسد پرسید
می‌پردازد پرداخت می‌پوشد پوشید
می‌پردازد پرداخت می‌پیچد پیچید
می‌پردازد پرداخت می‌زند زد
می‌پردازد پرداخت می‌نشیند نشست
می‌پردازد پرداخت می‌پرورد پرورید
می‌پردازد پرداخت می‌نوشد نوشید
می‌پردازد پرداخت می‌تواند توانست
می‌پردازد پرداخت می‌پرد پرید
می‌پردازد پرداخت می‌خزد خزید
می‌پردازد پرداخت می‌بارد بارید
می‌پردازد پرداخت می‌لرزد لرزید
می‌پردازد پرداخت می‌وزد وزید
می‌پردازد پرداخت می‌ریزد ریخت
می‌پردازد پرداخت برمی‌دارد برداشت
می‌پردازد پرداخت می‌گیرد گرفت
می‌جوید جست ﻿می‌رود رفت
می‌جوید جست می‌خورد خورد
می‌جوید جست می‌گوید گفت
می‌جوید جست می‌خندد خندید
می‌جوید جست می‌نویسد نوشت
می‌جوید جست می‌بیند دید
می‌جوید جست می‌جنگد جنگید
می‌جوید جست می‌سازد ساخت
می‌جوید جست می‌پردازد پرداخت
می‌جوید جست می‌پزد پخت
می‌جوید جست می‌شوید شست
می‌جوید جست می‌کند کرد
می‌جوید جست می‌خواند خواند
می‌جوید جست می‌خرد خرید
می‌جوید جست می‌گذارد گذاشت
می‌جوید جست می‌گرید گریست
می‌جوید جست می‌خوابد خوابید
می‌جوید جست می‌سوزد سوخت
می‌جوید جست می‌شکند شکست
می‌جوید جست می‌برد برد
می‌جوید جست می‌گذرد گذشت
می‌جوید جست می‌شنود شنید
می‌جوید جست می‌دوزد دوخت
می‌جوید جست می‌کارد کاشت
می‌جوید جست می‌خواهد خواست
می‌جوید جست می‌آفریند آفرید
می‌جوید جست می‌آورد آورد
می‌جوید جست می‌بخشد بخشید
می‌جوید جست می‌پرسد پرسید
می‌جوید جست می‌پوشد پوشید
می‌جوید جست می‌پیچد پیچید
می‌جوید جست می‌زند زد
می‌جوید جست می‌نشیند نشست
می‌جوید جست می‌پرورد پرورید
می‌جوید جست می‌نوشد نوشید
می‌جوید جست می‌تواند توانست
می‌جوید جست می‌پرد پرید
می‌جوید جست می‌خزد خزید
می‌جوید جست می‌بارد بارید
می‌جوید جست می‌لرزد لرزید
می‌جوید جست می‌وزد وزید
می‌جوید جست می‌ریزد ریخت
می‌جوید جست برمی‌دارد برداشت
می‌جوید جست می‌گیرد گرفت
می‌پزد پخت ﻿می‌رود رفت
می‌پزد پخت می‌خورد خورد
می‌پزد پخت می‌گوید گفت
می‌پزد پخت می‌خندد خندید
می‌پزد پخت می‌نویسد نوشت
می‌پزد پخت می‌بیند دید
می‌پزد پخت می‌جنگد جنگید
می‌پزد پخت می‌سازد ساخت
می‌پزد پخت می‌پردازد پرداخت
می‌پزد پخت می‌جوید جست
می‌پزد پخت می‌شوید شست
می‌پزد پخت می‌کند کرد
می‌پزد پخت می‌خواند خواند
می‌پزد پخت می‌خرد خرید
می‌پزد پخت می‌گذارد گذاشت
می‌پزد پخت می‌گرید گریست
می‌پزد پخت می‌خوابد خوابید
می‌پزد پخت می‌سوزد سوخت
می‌پزد پخت می‌شکند شکست
می‌پزد پخت می‌برد برد
می‌پزد پخت می‌گذرد گذشت
می‌پزد پخت می‌شنود شنید
می‌پزد پخت می‌دوزد دوخت
می‌پزد پخت می‌کارد کاشت
می‌پزد پخت می‌خواهد خواست
می‌پزد پخت می‌آفریند آفرید
می‌پزد پخت می‌آورد آورد
می‌پزد پخت می‌بخشد بخشید
می‌پزد پخت می‌پرسد پرسید
می‌پزد پخت می‌پوشد پوشید
می‌پزد پخت می‌پیچد پیچید
می‌پزد پخت می‌زند زد
می‌پزد پخت می‌نشیند نشست
می‌پزد پخت می‌پرورد پرورید
می‌پزد پخت می‌نوشد نوشید
می‌پزد پخت می‌تواند توانست
می‌پزد پخت می‌پرد پرید
می‌پزد پخت می‌خزد خزید
می‌پزد پخت می‌بارد بارید
می‌پزد پخت می‌لرزد لرزید
می‌پزد پخت می‌وزد وزید
می‌پزد پخت می‌ریزد ریخت
می‌پزد پخت برمی‌دارد برداشت
می‌پزد پخت می‌گیرد گرفت
می‌شوید شست ﻿می‌رود رفت
می‌شوید شست می‌خورد خورد
می‌شوید شست می‌گوید گفت
می‌شوید شست می‌خندد خندید
می‌شوید شست می‌نویسد نوشت
می‌شوید شست می‌بیند دید
می‌شوید شست می‌جنگد جنگید
می‌شوید شست می‌سازد ساخت
می‌شوید شست می‌پردازد پرداخت
می‌شوید شست می‌جوید جست
می‌شوید شست می‌پزد پخت
می‌شوید شست می‌کند کرد
می‌شوید شست می‌خواند خواند
می‌شوید شست می‌خرد خرید
می‌شوید شست می‌گذارد گذاشت
می‌شوید شست می‌گرید گریست
می‌شوید شست می‌خوابد خوابید
می‌شوید شست می‌سوزد سوخت
می‌شوید شست می‌شکند شکست
می‌شوید شست می‌برد برد
می‌شوید شست می‌گذرد گذشت
می‌شوید شست می‌شنود شنید
می‌شوید شست می‌دوزد دوخت
می‌شوید شست می‌کارد کاشت
می‌شوید شست می‌خواهد خواست
می‌شوید شست می‌آفریند آفرید
می‌شوید شست می‌آورد آورد
می‌شوید شست می‌بخشد بخشید
می‌شوید شست می‌پرسد پرسید
می‌شوید شست می‌پوشد پوشید
می‌شوید شست می‌پیچد پیچید
می‌شوید شست می‌زند زد
می‌شوید شست می‌نشیند نشست
می‌شوید شست می‌پرورد پرورید
می‌شوید شست می‌نوشد نوشید
می‌شوید شست می‌تواند توانست
می‌شوید شست می‌پرد پرید
می‌شوید شست می‌خزد خزید
می‌شوید شست می‌بارد بارید
می‌شوید شست می‌لرزد لرزید
می‌شوید شست می‌وزد وزید
می‌شوید شست می‌ریزد ریخت
می‌شوید شست برمی‌دارد برداشت
می‌شوید شست می‌گیرد گرفت
می‌کند کرد ﻿می‌رود رفت
می‌کند کرد می‌خورد خورد
می‌کند کرد می‌گوید گفت
می‌کند کرد می‌خندد خندید
می‌کند کرد می‌نویسد نوشت
می‌کند کرد می‌بیند دید
می‌کند کرد می‌جنگد جنگید
می‌کند کرد می‌سازد ساخت
می‌کند کرد می‌پردازد پرداخت
می‌کند کرد می‌جوید جست
می‌کند کرد می‌پزد پخت
می‌کند کرد می‌شوید شست
می‌کند کرد می‌خواند خواند
می‌کند کرد می‌خرد خرید
می‌کند کرد می‌گذارد گذاشت
می‌کند کرد می‌گرید گریست
می‌کند کرد می‌خوابد خوابید
می‌کند کرد می‌سوزد سوخت
می‌کند کرد می‌شکند شکست
می‌کند کرد می‌برد برد
می‌کند کرد می‌گذرد گذشت
می‌کند کرد می‌شنود شنید
می‌کند کرد می‌دوزد دوخت
می‌کند کرد می‌کارد کاشت
می‌کند کرد می‌خواهد خواست
می‌کند کرد می‌آفریند آفرید
می‌کند کرد می‌آورد آورد
می‌کند کرد می‌بخشد بخشید
می‌کند کرد می‌پرسد پرسید
می‌کند کرد می‌پوشد پوشید
می‌کند کرد می‌پیچد پیچید
می‌کند کرد می‌زند زد
می‌کند کرد می‌نشیند نشست
می‌کند کرد می‌پرورد پرورید
می‌کند کرد می‌نوشد نوشید
می‌کند کرد می‌تواند توانست
می‌کند کرد می‌پرد پرید
می‌کند کرد می‌خزد خزید
می‌کند کرد می‌بارد بارید
می‌کند کرد می‌لرزد لرزید
می‌کند کرد می‌وزد وزید
می‌کند کرد می‌ریزد ریخت
می‌کند کرد برمی‌دارد برداشت
می‌کند کرد می‌گیرد گرفت
می‌خواند خواند ﻿می‌رود رفت
می‌خواند خواند می‌خورد خورد
می‌خواند خواند می‌گوید گفت
می‌خواند خواند می‌خندد خندید
می‌خواند خواند می‌نویسد نوشت
می‌خواند خواند می‌بیند دید
می‌خواند خواند می‌جنگد جنگید
می‌خواند خواند می‌سازد ساخت
می‌خواند خواند می‌پردازد پرداخت
می‌خواند خواند می‌جوید جست
می‌خواند خواند می‌پزد پخت
می‌خواند خواند می‌شوید شست
می‌خواند خواند می‌کند کرد
می‌خواند خواند می‌خرد خرید
می‌خواند خواند می‌گذارد گذاشت
می‌خواند خواند می‌گرید گریست
می‌خواند خواند می‌خوابد خوابید
می‌خواند خواند می‌سوزد سوخت
می‌خواند خواند می‌شکند شکست
می‌خواند خواند می‌برد برد
می‌خواند خواند می‌گذرد گذشت
می‌خواند خواند می‌شنود شنید
می‌خواند خواند می‌دوزد دوخت
می‌خواند خواند می‌کارد کاشت
می‌خواند خواند می‌خواهد خواست
می‌خواند خواند می‌آفریند آفرید
می‌خواند خواند می‌آورد آورد
می‌خواند خواند می‌بخشد بخشید
می‌خواند خواند می‌پرسد پرسید
می‌خواند خواند می‌پوشد پوشید
می‌خواند خواند می‌پیچد پیچید
می‌خواند خواند می‌زند زد
می‌خواند خواند می‌نشیند نشست
می‌خواند خواند می‌پرورد پرورید
می‌خواند خواند می‌نوشد نوشید
می‌خواند خواند می‌تواند توانست
می‌خواند خواند می‌پرد پرید
می‌خواند خواند می‌خزد خزید
می‌خواند خواند می‌بارد بارید
می‌خواند خواند می‌لرزد لرزید
می‌خواند خواند می‌وزد وزید
می‌خواند خواند می‌ریزد ریخت
می‌خواند خواند برمی‌دارد برداشت
می‌خواند خواند می‌گیرد گرفت
می‌خرد خرید ﻿می‌رود رفت
می‌خرد خرید می‌خورد خورد
می‌خرد خرید می‌گوید گفت
می‌خرد خرید می‌خندد خندید
می‌خرد خرید می‌نویسد نوشت
می‌خرد خرید می‌بیند دید
می‌خرد خرید می‌جنگد جنگید
می‌خرد خرید می‌سازد ساخت
می‌خرد خرید می‌پردازد پرداخت
می‌خرد خرید می‌جوید جست
می‌خرد خرید می‌پزد پخت
می‌خرد خرید می‌شوید شست
می‌خرد خرید می‌کند کرد
می‌خرد خرید می‌خواند خواند
می‌خرد خرید می‌گذارد گذاشت
می‌خرد خرید می‌گرید گریست
می‌خرد خرید می‌خوابد خوابید
می‌خرد خرید می‌سوزد سوخت
می‌خرد خرید می‌شکند شکست
می‌خرد خرید می‌برد برد
می‌خرد خرید می‌گذرد گذشت
می‌خرد خرید می‌شنود شنید
می‌خرد خرید می‌دوزد دوخت
می‌خرد خرید می‌کارد کاشت
می‌خرد خرید می‌خواهد خواست
می‌خرد خرید می‌آفریند آفرید
می‌خرد خرید می‌آورد آورد
می‌خرد خرید می‌بخشد بخشید
می‌خرد خرید می‌پرسد پرسید
می‌خرد خرید می‌پوشد پوشید
می‌خرد خرید می‌پیچد پیچید
می‌خرد خرید می‌زند زد
می‌خرد خرید می‌نشیند نشست
می‌خرد خرید می‌پرورد پرورید
می‌خرد خرید می‌نوشد نوشید
می‌خرد خرید می‌تواند توانست
می‌خرد خرید می‌پرد پرید
می‌خرد خرید می‌خزد خزید
می‌خرد خرید می‌بارد بارید
می‌خرد خرید می‌لرزد لرزید
می‌خرد خرید می‌وزد وزید
می‌خرد خرید می‌ریزد ریخت
می‌خرد خرید برمی‌دارد برداشت
می‌خرد خرید می‌گیرد گرفت
می‌گذارد گذاشت ﻿می‌رود رفت
می‌گذارد گذاشت می‌خورد خورد
می‌گذارد گذاشت می‌گوید گفت
می‌گذارد گذاشت می‌خندد خندید
می‌گذارد گذاشت می‌نویسد نوشت
می‌گذارد گذاشت می‌بیند دید
می‌گذارد گذاشت می‌جنگد جنگید
می‌گذارد گذاشت می‌سازد ساخت
می‌گذارد گذاشت می‌پردازد پرداخت
می‌گذارد گذاشت می‌جوید جست
می‌گذارد گذاشت می‌پزد پخت
می‌گذارد گذاشت می‌شوید شست
می‌گذارد گذاشت می‌کند کرد
می‌گذارد گذاشت می‌خواند خواند
می‌گذارد گذاشت می‌خرد خرید
می‌گذارد گذاشت می‌گرید گریست
می‌گذارد گذاشت می‌خوابد خوابید
می‌گذارد گذاشت می‌سوزد سوخت
می‌گذارد گذاشت می‌شکند شکست
می‌گذارد گذاشت می‌برد برد
می‌گذارد گذاشت می‌گذرد گذشت
می‌گذارد گذاشت می‌شنود شنید
می‌گذارد گذاشت می‌دوزد دوخت
می‌گذارد گذاشت می‌کارد کاشت
می‌گذارد گذاشت می‌خواهد خواست
